Nodes;Edges;Sequential Time;MPI Time;
5;5;0.000169;0.000113;
6;6;0.000391;0.000148;
7;7;0.000373;0.000163;
8;8;0.000199;0.000124;
9;9;0.000221;0.000213;
10;10;0.000322;0.000182;
11;11;0.000459;0.000124;
12;12;0.000339;0.000125;
13;13;0.000476;0.000198;
14;14;0.000280;0.000139;
15;15;0.000372;0.000153;
16;16;0.000366;0.000150;
17;17;0.000534;0.000154;
18;18;0.000324;0.000152;
19;19;0.000419;0.000163;
20;20;0.000594;0.000142;
21;21;0.000488;0.000203;
22;22;0.000489;0.000177;
23;23;0.000358;0.000148;
24;24;0.000509;0.000162;
25;25;0.000657;0.000210;
26;26;0.000367;0.000168;
27;27;0.000759;0.000151;
28;28;0.000606;0.000178;
29;29;0.001116;0.007135;
30;30;0.000938;0.000177;
31;31;0.000436;0.000219;
32;32;0.000445;0.000188;
33;33;0.000879;0.000235;
34;34;0.001267;0.000175;
35;35;0.000809;0.000175;
36;36;0.000657;0.000163;
37;37;0.000829;0.000171;
38;38;0.000634;0.000181;
39;39;0.001226;0.000175;
40;40;0.001338;0.000177;
41;41;0.001564;0.000191;
42;42;0.001119;0.000206;
43;43;0.000702;0.000170;
44;44;0.001425;0.000261;
45;45;0.001793;0.007169;
46;46;0.000774;0.000253;
47;47;0.001273;0.000200;
48;48;0.002439;0.000269;
49;49;0.000496;0.000230;
50;50;0.001381;0.000255;
51;51;0.002294;0.000231;
52;52;0.001451;0.000201;
53;53;0.003002;0.000215;
54;54;0.002313;0.000251;
55;55;0.001591;0.000250;
56;56;0.001758;0.000225;
57;57;0.001003;0.000246;
58;58;0.003977;0.000216;
59;59;0.002022;0.000248;
60;60;0.001717;0.000246;
61;61;0.001121;0.000260;
62;62;0.001905;0.000265;
63;63;0.002009;0.007231;
64;64;0.002612;0.000249;
65;65;0.002185;0.000212;
66;66;0.002370;0.000265;
67;67;0.002155;0.000215;
68;68;0.002336;0.000260;
69;69;0.002324;0.000263;
70;70;0.001952;0.000268;
71;71;0.002942;0.000322;
72;72;0.001710;0.000232;
73;73;0.002952;0.000235;
74;74;0.002682;0.000277;
75;75;0.002232;0.000277;
76;76;0.002629;0.007305;
77;77;0.003080;0.000292;
78;78;0.003538;0.000283;
79;79;0.002556;0.000265;
80;80;0.002996;0.000340;
81;81;0.003610;0.000348;
82;82;0.003560;0.000302;
83;83;0.002894;0.000362;
84;84;0.002790;0.000300;
85;85;0.003276;0.000331;
86;86;0.004257;0.000320;
87;87;0.004735;0.000284;
88;88;0.005240;0.000386;
89;89;0.003025;0.000289;
90;90;0.006955;0.000378;
91;91;0.004259;0.000352;
92;92;0.004052;0.000366;
93;93;0.006634;0.000317;
94;94;0.006681;0.000370;
95;95;0.004520;0.000391;
96;96;0.005756;0.000284;
97;97;0.003781;0.000287;
98;98;0.003792;0.000421;
99;99;0.003104;0.007360;
100;100;0.004095;0.000388;
101;101;0.005271;0.000325;
102;102;0.005268;0.000394;
103;103;0.005197;0.000390;
104;104;0.005135;0.000412;
105;105;0.005230;0.000421;
